Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2000-06-14,The Real Slim Shady,Eminem,6,7,6,7,https://charts-static.billboard.com/img/2000/05/eminem-d78-therealslimshady-mdw-180x180.jpg
2000-06-14,Thong Song,Sisqo,7,3,3,21,#
2000-06-14,Maria Maria,Santana Featuring The Product G&B,8,1,1,19,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-06-14,Oops!...I Did It Again,Britney Spears,9,9,9,9,https://charts-static.billboard.com/img/1998/10/britney-spears-l78-180x180.jpg
2000-06-14,I Wanna Know,Joe,10,12,10,25,#
2000-06-21,Be With You,Enrique Iglesias,1,4,1,13,#
2000-06-21,Try Again,Aaliyah,2,1,1,15,#
2000-06-21,Everything You Want,Vertical Horizon,3,3,3,23,#
2000-06-21,The Real Slim Shady,Eminem,4,6,4,8,#
2000-06-21,Breathe,Faith Hill,5,2,2,34,https://charts-static.billboard.com/img/1993/10/faith-hill-n2i-180x180.jpg
2000-06-21,I Wanna Know,Joe,6,10,6,26,#
2000-06-21,You Sang To Me,Marc Anthony,7,5,2,18,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-06-21,Thong Song,Sisqo,8,7,3,22,#
2000-06-21,It's Gonna Be Me,*NSYNC,9,15,9,8,https://charts-static.billboard.com/img/2000/04/n-sync-3cz-itsgonnabeme-f1t-180x180.jpg
2000-06-21,Oops!...I Did It Again,Britney Spears,10,9,9,10,https://charts-static.billboard.com/img/1998/10/britney-spears-l78-180x180.jpg
2000-06-28,Be With You,Enrique Iglesias,1,1,1,14,#
2000-06-28,Try Again,Aaliyah,2,2,1,16,#
2000-06-28,I Turn To You,Christina Aguilera,3,17,3,12,#
2000-06-28,I Wanna Know,Joe,4,6,4,27,#
2000-06-28,The Real Slim Shady,Eminem,5,4,4,9,https://charts-static.billboard.com/img/2000/05/eminem-d78-therealslimshady-mdw-180x180.jpg
2000-06-28,Everything You Want,Vertical Horizon,6,3,3,24,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-06-28,It's Gonna Be Me,*NSYNC,7,9,7,9,https://charts-static.billboard.com/img/2000/04/n-sync-3cz-itsgonnabeme-f1t-180x180.jpg
2000-06-28,Breathe,Faith Hill,8,5,2,35,https://charts-static.billboard.com/img/1993/10/faith-hill-n2i-180x180.jpg
2000-06-28,You Sang To Me,Marc Anthony,9,7,2,19,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-06-28,There You Go,P!nk,10,12,7,18,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg
2000-07-05,Be With You,Enrique Iglesias,1,1,1,15,#
2000-07-05,Try Again,Aaliyah,2,2,1,17,#
2000-07-05,I Turn To You,Christina Aguilera,3,3,3,13,#
2000-07-05,The Real Slim Shady,Eminem,4,5,4,10,#
2000-07-05,I Wanna Know,Joe,5,4,4,28,#
2000-07-05,Everything You Want,Vertical Horizon,6,6,3,25,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-07-05,It's Gonna Be Me,*NSYNC,7,7,7,10,https://charts-static.billboard.com/img/2000/04/n-sync-3cz-itsgonnabeme-f1t-180x180.jpg
2000-07-05,Bent,Matchbox Twenty,8,12,8,11,#
